request_id,duration,fingerprint,http_method,response_size,http_status,last_seen,url
7ac16835-a830-49ea-bebb-bf15f2b658c2,1196 ms,08775e5abba514890ff64561bd2d56deb4794a5f,GET,325935 bytes,200,2026-06-23 07:45:08 UTC,https://api.itf-production.sports-data.stadion.io/custom/wcotDrawsModeled/bjkc/2026
e1ef809f-1dee-4438-b4d2-8147d5fcee73,941 ms,37f92fc2c5ec0ace45df6ea7570e87e3c7a25ec1,GET,170622 bytes,200,2026-06-23 07:45:09 UTC,https://api.itf-production.sports-data.stadion.io/custom/tieCentre/fa781011-ca9f-430f-87f6-ed9545111899
3089955e-b282-4651-bed4-b0f1f310621d,1237 ms,94aed8e830ce337853cb1f00852d78d8ed2cd7a4,GET,58354 bytes,200,2026-06-23 07:45:10 UTC,https://api.itf-production.sports-data.stadion.io/custom/tieCentre/3a34e3f2-7885-4d13-bae9-83a1b386811d
df7f1ed0-c225-464e-bb0f-6f17d30c42b5,1248 ms,f43975f28e152047f62aa70bef7bb4f6aabcc979,GET,261378 bytes,200,2026-06-23 07:45:10 UTC,https://api.itf-production.sports-data.stadion.io/custom/tieCentre/90df3e6f-7eef-471b-9f5e-2ec1d01a132a
dbf794b9-3163-4ee0-ae5e-d7283fe446fd,1270 ms,215c7e6dca66ef4cba1811e6018b80098fb499a8,GET,131974 bytes,200,2026-06-23 07:45:10 UTC,https://api.itf-production.sports-data.stadion.io/custom/tieCentre/80985bc9-db5a-4723-a429-7dea1efc06e4
9b2d5d7e-b383-4814-93ce-1d22f37c419f,1507 ms,128c7eac7f82f05c26de181160c4d622d782efa9,GET,164954 bytes,200,2026-06-23 07:45:10 UTC,https://api.itf-production.sports-data.stadion.io/custom/tieCentre/46d9681e-55ac-4fff-8063-9c9178ef0f18
79525f20-d19e-463b-a444-068a2f278c15,793 ms,9ee5a72b4a0dca984db2635f0c1f498aa84e1835,GET,40312 bytes,200,2026-06-23 07:45:10 UTC,"https://api.itf-production.sports-data.stadion.io/match/57488270-9ae3-4d1e-b903-9f2486218a49?include=sides.sidePlayer.player.person.country.images,sides.sidePlayer.player.person.images,sides.sideSets.set,matchStatus,scoringType,court,round.draw.event.venue.country,round.draw.event.surface,round.draw.event.discipline,round.draw.event.eventCategory.images,round.draw.event.venue.country.images,round.draw.discipline,tie.teams.country,tie.tieStatus,tie.teams.country.images,tie.round.draw.event,tie.round.draw.event.surface,tie.round.draw.event.venue.country.images"
df73477d-0da9-4858-b452-adad89beea15,499 ms,6560c06e72e338f9437f5979fbba697a41bc3761,GET,40221 bytes,200,2026-06-23 07:45:10 UTC,"https://api.itf-production.sports-data.stadion.io/match/1fc09692-f247-45f5-8beb-8ed45fbfdc6a?include=sides.sidePlayer.player.person.country.images,sides.sidePlayer.player.person.images,sides.sideSets.set,matchStatus,scoringType,court,round.draw.event.venue.country,round.draw.event.surface,round.draw.event.discipline,round.draw.event.eventCategory.images,round.draw.event.venue.country.images,round.draw.discipline,tie.teams.country,tie.tieStatus,tie.teams.country.images,tie.round.draw.event,tie.round.draw.event.surface,tie.round.draw.event.venue.country.images"
443da637-b547-4037-80d9-cde54dcfb896,937 ms,39c928148200b1d086d0c903852a22cdf760ebe5,GET,40031 bytes,200,2026-06-23 07:45:11 UTC,"https://api.itf-production.sports-data.stadion.io/match/09f1cffe-9306-444c-b858-dd77f24c505b?include=sides.sidePlayer.player.person.country.images,sides.sidePlayer.player.person.images,sides.sideSets.set,matchStatus,scoringType,court,round.draw.event.venue.country,round.draw.event.surface,round.draw.event.discipline,round.draw.event.eventCategory.images,round.draw.event.venue.country.images,round.draw.discipline,tie.teams.country,tie.tieStatus,tie.teams.country.images,tie.round.draw.event,tie.round.draw.event.surface,tie.round.draw.event.venue.country.images"
ab4fefc6-918e-41b1-8c74-ff42237b97fc,1875 ms,f05427622790617e8866d1e971a8d29ce7f4fe4a,GET,58353 bytes,200,2026-06-23 07:45:12 UTC,https://api.itf-production.sports-data.stadion.io/custom/tieCentre/ee53c414-1ad1-4249-8f97-b5ff87a0222d
